"","Scenario","ShorttermSSB","ShorttermCatch","Catchstab","Ffreq","Bfreq","MediumtermSSB","MediumtermCatch","MediumCatchstab","MediumFfreq","MediumBfreq","LongtermSSB","LongtermCatch","LongCatchstab","LongFfreq","LongBfreq","OM","Rho","Frequency","HCR"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1",1
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0
"5",1,1,0.331263329983595,0.0525452763656785,0.999000999000999,0.1998001998002,0.9437480820106,0.957488778490381,0.535224023931614,0.999000999000999,0.999000999000999,0.704179251801888,0.978704759983605,0.774227279731283,0.999000999000999,0.999000999000999,1,"No rho-adjustment","Two year updates",1
"6",2,0.995774416413918,0.249009505504165,0.0881179033408925,0.999000999000999,0.1998001998002,1,0.951338580333226,0.477056339047402,0.999000999000999,0.999000999000999,0.702590154977164,0.976083877227116,0.785126029206786,0.999000999000999,0.999000999000999,1,"No rho-adjustment","Two year updates",2
"7",3,0.89048377187288,0.746477200768926,0.132011421547091,0.999000999000999,0.1998001998002,0.870036669921865,0.802464899422502,0.559071494748178,0.999000999000999,0.999000999000999,0.722587396953731,1,0.676254853914078,0.999000999000999,0.999000999000999,1,"No rho-adjustment","Two year updates",3
"8",4,0.872332591201166,0.608661267063792,1,0.999000999000999,0.1998001998002,0.985079977778008,0.313125632696419,0.513100292968382,0.999000999000999,0.999000999000999,1,0.639302424780199,0.196815714974412,0.999000999000999,0.999000999000999,1,"No rho-adjustment","Two year updates",4
"9",5,0.967149709665342,0.319237491187763,0.133145745781184,0.799200799200799,0,0.61712555729042,0.968550387024035,0.484623139291163,0,0.999000999000999,0.325929321478671,0.51528553410059,0.407411312073423,0.544909635818727,0.999000999000999,3,"No rho-adjustment","Two year updates",1
"10",6,0.943941753139824,0.507676413362326,0.128948091303802,0.799200799200799,0,0.575595948459029,1,0.544317247366588,0,0.999000999000999,0.324574157714562,0.57727553383703,0.429239306938134,0,0.999000999000999,3,"No rho-adjustment","Two year updates",2
"11",7,0.858399169911997,0.986243851179778,0.178006994022791,0,0,0.511638461422112,0.633729486866846,0.781472019824875,0,0.799200799200799,0.350573729067726,0.570625659583222,0.506292913799132,0,0.999000999000999,3,"No rho-adjustment","Two year updates",3
"12",8,0.9164938299606,0.525031661050857,0.460718815545093,0.999000999000999,0,0.670809969067655,0.430473139992959,0.501322650873568,0.999000999000999,0.999000999000999,0.424872713551507,0.701954808534342,0.571886945607816,0.272454817909363,0.999000999000999,3,"No rho-adjustment","Two year updates",4
"13",9,0.95798061009869,0.219004675544547,0.083580666526558,0.999000999000999,0.1998001998002,0.830582565531172,0.871808554093318,0.498012141971698,0.999000999000999,0.999000999000999,0.459404243819818,0.744157409306563,0.891902024570421,0.999000999000999,0.999000999000999,4,"No rho-adjustment","Two year updates",1
"14",10,0.943908119817367,0.278031586681603,0.0955648257644733,0.999000999000999,0.1998001998002,0.809185931401008,0.876386499130066,0.488705895894169,0.999000999000999,0.999000999000999,0.448721741432531,0.734357193893002,0.908417561442918,0.999000999000999,0.999000999000999,4,"No rho-adjustment","Two year updates",2
"15",11,0.840717262838151,0.766180310181647,0.146101113071235,0.999000999000999,0,0.686065580469304,0.68043799728821,0.614905261217657,0.999000999000999,0.999000999000999,0.439035480901978,0.645763560596995,1,0.999000999000999,0.999000999000999,4,"No rho-adjustment","Two year updates",3
"16",12,0.806704780837625,0.65724910322431,0.945024005541217,0.999000999000999,0,0.795564733863222,0.327331167934369,0.509007966397806,0.999000999000999,0.999000999000999,0.599640906452191,0.643695811666885,0.385743748310778,0.999000999000999,0.999000999000999,4,"No rho-adjustment","Two year updates",4
"17",13,0.924314331779643,0.458527604564354,0.120861161355625,0.799200799200799,0,0.459435920840916,0.876704068489467,0.574713052322538,0,0.999000999000999,0.17548045834495,0.334410184503027,0.270158649837861,0,0.544909635818727,5,"No rho-adjustment","Two year updates",1
"18",14,0.907529056755454,0.535787435027674,0.139038796692865,0.799200799200799,0,0.458464599861434,0.870191662489221,0.590035601225925,0,0.799200799200799,0.177666049971347,0.352675617076932,0.317679375089887,0,0.635727908455181,5,"No rho-adjustment","Two year updates",2
"19",15,0.823147246856328,0.977309438947372,0.202465218232167,0,0,0.418713062141384,0.601028355423731,0.901380772786651,0,0.599400599400599,0.200665426712251,0.378725087592753,0.535801184134128,0,0.81736445372809,5,"No rho-adjustment","Two year updates",3
"20",16,0.886424909465927,0.509138184219601,0.470232826644152,0.999000999000999,0,0.558725997437863,0.430466489993121,0.49597260828858,0.999000999000999,0.999000999000999,0.230936879238148,0.454022081367581,0.582904518856786,0.0908182726364545,0.726546181091636,5,"No rho-adjustment","Two year updates",4
"21",17,0.922632425912011,0.458422737697431,0.14905257233675,0.799200799200799,0,0.534464985033767,0.653366521397034,0.503415322874148,0,0.999000999000999,0.230111207088483,0.312559194401128,0.355977049582443,0.726546181091636,0.999000999000999,5,"Rho-adjustment","Two year updates",1
"22",18,0.914616913112026,0.499160178432759,0.162399174154983,0.799200799200799,0,0.524340537604598,0.636322901351886,0.527226398129779,0,0.999000999000999,0.2335738332664,0.336062763295318,0.369928271038139,0.726546181091636,0.999000999000999,5,"Rho-adjustment","Two year updates",2
